room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
19599506,1471,22087218,Entire home/apt,,Berlin,,Tempelhof-Schöneberg,0,0.0,2,1.0,,95.0,,2 Zimmer mit großer Terrasse in Schöneberg,2017-07-25 00:56:45.722268,52.496935,13.34895,0101000020E6100000DFE00B93A9B22A406F9EEA909B3F4A40
19544739,1471,126402066,Entire home/apt,,Berlin,,Charlottenburg-Wilmersdorf,0,0.0,4,2.0,,95.0,,Große Altberliner Wohnung mit Charme,2017-07-25 00:56:45.717721,52.510597,13.283316,0101000020E6100000F8DD74CB0E912A40C537143E5B414A40
500641,1471,2470260,Entire home/apt,,Berlin,,Pankow,116,5.0,3,1.0,,88.0,,Kollwitzplatz - Prenzlauer Berg,2017-07-25 00:56:45.715526,52.53873,13.414492,0101000020E610000042E8A04B38D42A40E2AFC91AF5444A40
18724217,1471,130216301,Entire home/apt,,Berlin,,Pankow,1,0.0,2,0.0,,95.0,,Die Wohnung der Frida Karlo,2017-07-25 00:56:45.709524,52.549354,13.403472,0101000020E610000014B4C9E193CE2A40A1F65B3B51464A40
3395839,1471,17133550,Entire home/apt,,Berlin,,Pankow,10,5.0,3,1.0,,96.0,,Lovely 3 rooms apartment,2017-07-25 00:56:45.704231,52.537237,13.413401,0101000020E61000007444BE4BA9D32A40BF99982EC4444A40
17889432,1471,122429153,Entire home/apt,,Berlin,,Mitte,11,4.5,2,1.0,,91.0,,Ground floor apartment for 2-3 guests,2017-07-25 00:56:43.471379,52.530422,13.328112,0101000020E6100000AED9CA4BFEA72A401A8A3BDEE4434A40
19813679,1471,139976274,Entire home/apt,,Berlin,,Friedrichshain-Kreuzberg,0,0.0,5,2.0,,96.0,,Central located Appartment - family friendly,2017-07-25 00:56:43.465765,52.517241,13.443848,0101000020E61000003ECA880B40E32A403E93FDF334424A40
8955752,1471,40359,Entire home/apt,,Berlin,,Mitte,36,4.5,4,2.0,,95.0,,Central Apt in a Charming Heritage-Listed Building,2017-07-25 00:56:43.457758,52.532593,13.38239,0101000020E610000087A2409FC8C32A400D8AE6012C444A40
18659334,1471,129674043,Entire home/apt,,Berlin,,Pankow,9,5.0,4,2.0,,95.0,,The BERLIN Getaway - simply beautiful 70m2,2017-07-25 00:56:43.451535,52.571569,13.396985,0101000020E61000005001309E41CB2A402634492C29494A40
16237052,1471,106130027,Entire home/apt,,Berlin,,Friedrichshain-Kreuzberg,43,5.0,4,1.0,,84.0,,"Stylische Loft-Wohnung, cosy, inkl. Fahrräder",2017-07-25 00:56:43.447132,52.522761,13.446645,0101000020E610000006D847A7AEE42A40E84F1BD5E9424A40
18991973,1471,132024723,Entire home/apt,,Berlin,,Mitte,3,5.0,2,1.0,,84.0,,Schöne Wohnung im Berliner Zentrum,2017-07-25 00:56:43.444871,52.531726,13.351639,0101000020E61000000DFFE9060AB42A406937FA980F444A40
15248889,1471,34705166,Entire home/apt,,Berlin,,Friedrichshain-Kreuzberg,8,5.0,3,1.0,,87.0,,Nähe Warschauer Strasse,2017-07-25 00:56:43.441745,52.522633,13.453577,0101000020E6100000826F9A3E3BE82A40BA675DA3E5424A40
19134934,1471,130922896,Entire home/apt,,Berlin,,Friedrichshain-Kreuzberg,2,0.0,4,2.0,,91.0,,A sunny and spacious apartment w/perfect location,2017-07-25 00:56:42.111799,52.504154,13.454915,0101000020E610000070EB6E9EEAE82A40E412471E88404A40
