participant_id,denominator,arrangement,decisionTime,probability,iconicity
2,10,Random,1147,60,house
2,100,Random,1107,60,house
2,10,Random,1504,20,house
2,100,Random,4543,80,house
2,10,Random,1124,70,house
2,10,Random,1148,30,house
2,100,Random,1431,50,house
2,10,Random,1134,80,house
2,100,Random,1364,40,house
2,10,Random,1523,10,house
2,100,Random,1400,30,house
2,100,Random,1271,20,house
3,100,NA,13133,60,naturalFrequency
3,100,NA,8443,10,naturalFrequency
3,10,NA,4496,40,naturalFrequency
3,10,NA,1584,80,naturalFrequency
3,10,NA,930,70,naturalFrequency
3,100,NA,2091,40,naturalFrequency
3,100,NA,1611,30,naturalFrequency
3,100,NA,3017,70,naturalFrequency
3,10,NA,4760,20,naturalFrequency
3,10,NA,1738,30,naturalFrequency
3,10,NA,1190,10,naturalFrequency
3,10,NA,1458,50,naturalFrequency
3,100,NA,1576,80,naturalFrequency
3,100,NA,1506,50,naturalFrequency
3,100,NA,1098,20,naturalFrequency
3,10,NA,1634,60,naturalFrequency
3,10,NA,1065,90,naturalFrequency
3,100,NA,1146,90,naturalFrequency
3,100,NA,3348,100,naturalFrequency
3,10,Ordered,5489,40,square
3,100,Ordered,1501,10,square
3,100,Ordered,1570,40,square
3,10,Ordered,1209,10,square
3,100,Ordered,1210,90,square
3,100,Ordered,2370,60,square
3,100,Ordered,4982,0,square
3,100,Ordered,1265,70,square
3,10,Ordered,1162,90,square
3,10,Ordered,1282,30,square
3,10,Ordered,1362,50,square
3,100,Ordered,1330,50,square
3,10,Ordered,1698,60,square
3,10,Ordered,817,80,square
3,10,Ordered,954,70,square
3,100,Ordered,1825,20,square
3,100,Ordered,783,30,square
3,100,Ordered,1266,80,square
3,10,Ordered,1209,20,square
3,10,Ordered,3501,90,house
3,100,Ordered,1840,50,house
3,10,Ordered,1298,70,house
3,10,Ordered,3448,40,house
3,10,Ordered,1154,60,house
3,100,Ordered,1237,20,house
3,100,Ordered,998,70,house
3,10,Ordered,2092,80,house
3,100,Ordered,1592,40,house
3,10,Ordered,1530,50,house
3,10,Ordered,1210,20,house
3,100,Ordered,1105,30,house
3,10,Ordered,1049,30,house
3,100,Ordered,1046,60,house
3,100,Ordered,990,10,house
3,100,Ordered,1520,0,house
3,100,Ordered,849,80,house
3,10,Ordered,967,10,house
3,100,Ordered,1062,90,house
3,100,Random,6233,80,square
3,10,Random,1577,70,square
3,10,Random,2541,30,square
3,100,Random,1610,70,square
3,10,Random,1464,60,square
3,100,Random,4088,40,square
3,100,Random,2044,30,square
3,10,Random,1329,20,square
3,100,Random,1126,90,square
3,10,Random,1097,90,square
3,100,Random,1142,10,square
3,100,Random,1033,20,square
3,10,Random,1050,10,square
3,100,Random,1050,0,square
3,10,Random,1698,50,square
3,100,Random,953,50,square
3,100,Random,802,60,square
3,10,Random,1580,80,square
3,10,Random,1784,40,square
3,10,Random,1875,70,house
3,10,Random,1074,50,house
3,10,Random,2367,40,house
3,100,Random,1159,100,house
3,100,Random,2098,20,house
3,10,Random,1881,60,house
3,100,Random,1032,40,house
3,100,Random,856,80,house
3,100,Random,767,70,house
3,100,Random,711,90,house
3,100,Random,861,60,house
3,10,Random,1220,30,house
3,10,Random,815,20,house
3,100,Random,1197,10,house
3,10,Random,1057,90,house
3,10,Random,841,80,house
3,100,Random,4124,30,house
3,10,Random,1643,10,house
3,100,Random,1095,50,house
4,100,NA,4944,30,naturalFrequency
4,10,NA,1736,30,naturalFrequency
4,100,NA,1016,60,naturalFrequency
4,10,NA,1200,60,naturalFrequency
4,10,NA,800,10,naturalFrequency
4,100,NA,792,90,naturalFrequency
4,100,NA,656,100,naturalFrequency
4,100,NA,2416,40,naturalFrequency
4,100,NA,2369,50,naturalFrequency
4,10,NA,967,50,naturalFrequency
4,100,NA,776,70,naturalFrequency
4,10,NA,848,40,naturalFrequency
4,10,NA,792,70,naturalFrequency
4,10,NA,776,80,naturalFrequency
4,100,NA,776,20,naturalFrequency
4,100,NA,1458,80,naturalFrequency
4,100,NA,808,10,naturalFrequency
4,10,NA,608,20,naturalFrequency
4,10,NA,623,90,naturalFrequency
4,10,Ordered,2648,60,square
4,100,Ordered,2032,20,square
4,100,Ordered,1584,40,square
4,100,Ordered,744,60,square
4,100,Ordered,864,0,square
4,10,Ordered,1296,80,square
4,10,Ordered,784,70,square
4,100,Ordered,1106,90,square
4,10,Ordered,1872,40,square
4,10,Ordered,664,10,square
4,100,Ordered,1080,30,square
4,100,Ordered,672,10,square
4,10,Ordered,1872,50,square
4,100,Ordered,1000,50,square
4,10,Ordered,808,20,square
4,100,Ordered,784,70,square
4,10,Ordered,752,30,square
4,100,Ordered,1248,80,square
4,10,Ordered,728,90,square
4,100,Ordered,3023,30,house
4,10,Ordered,1024,90,house
4,10,Ordered,816,80,house
4,10,Ordered,784,60,house
4,10,Ordered,640,30,house
4,10,Ordered,704,100,house
4,100,Ordered,831,90,house
4,100,Ordered,735,20,house
4,10,Ordered,984,70,house
4,100,Ordered,1143,50,house
4,10,Ordered,1056,50,house
4,100,Ordered,2727,80,house
4,10,Ordered,856,10,house
4,100,Ordered,855,40,house
4,10,Ordered,736,40,house
4,10,Ordered,680,20,house
4,100,Ordered,823,60,house
4,100,Ordered,679,10,house
4,100,Ordered,1159,70,house
4,100,Random,1007,100,square
4,100,Random,3272,50,square
4,10,Random,1296,70,square
4,10,Random,664,10,square
4,100,Random,3320,60,square
4,10,Random,1736,30,square
4,100,Random,824,90,square
4,10,Random,864,90,square
4,100,Random,856,30,square
4,10,Random,864,80,square
4,10,Random,1161,20,square
4,10,Random,608,50,square
4,100,Random,864,10,square
4,100,Random,1080,40,square
4,10,Random,1176,40,square
4,10,Random,704,60,square
4,100,Random,720,80,square
4,100,Random,696,20,square
4,100,Random,576,70,square
4,10,Random,4656,30,house
4,100,Random,1159,50,house
4,10,Random,800,90,house
4,100,Random,671,100,house
4,10,Random,815,10,house
4,100,Random,830,10,house
4,10,Random,720,40,house
4,10,Random,648,20,house
4,100,Random,751,60,house
4,100,Random,927,40,house
4,10,Random,1224,50,house
4,10,Random,776,70,house
4,10,Random,616,80,house
4,100,Random,1007,30,house
4,100,Random,895,80,house
4,10,Random,1128,60,house
4,100,Random,807,20,house
4,100,Random,695,90,house
4,100,Random,680,70,house
5,10,NA,4027,80,naturalFrequency
5,10,NA,1075,10,naturalFrequency
5,10,NA,1173,20,naturalFrequency
5,10,NA,1647,40,naturalFrequency
5,10,NA,1108,50,naturalFrequency
5,100,NA,4785,20,naturalFrequency
5,100,NA,704,40,naturalFrequency
5,100,NA,568,60,naturalFrequency
5,10,NA,1864,90,naturalFrequency
5,10,NA,831,60,naturalFrequency
5,10,NA,1143,30,naturalFrequency
5,100,NA,753,90,naturalFrequency
5,100,NA,1024,100,naturalFrequency
5,100,NA,580,10,naturalFrequency
5,100,NA,75370,70,naturalFrequency
5,10,NA,703,70,naturalFrequency
5,100,NA,604,80,naturalFrequency
5,100,NA,1117,30,naturalFrequency
5,100,NA,596,50,naturalFrequency
5,10,Ordered,3055,40,square
5,100,Ordered,982,50,square
5,100,Ordered,1299,40,square
5,100,Ordered,612,80,square
5,10,Ordered,1012,100,square
5,10,Ordered,637,80,square
5,10,Ordered,647,70,square
5,10,Ordered,481,50,square
5,10,Ordered,539,90,square
5,10,Ordered,1348,10,square
5,100,Ordered,871,70,square
5,10,Ordered,1219,20,square
5,100,Ordered,1443,20,square
5,100,Ordered,1047,10,square
5,100,Ordered,1839,90,square
5,10,Ordered,2248,60,square
5,100,Ordered,1051,60,square
5,100,Ordered,1231,30,square
5,10,Ordered,1239,30,square
5,10,Ordered,2299,90,house
