denominator,participant_id,arrangement,iconicity,probability,decision,decisionTime
10,2,Random,house,70,evacuate,1124
10,2,Random,house,30,stay,1148
100,2,Random,house,50,evacuate,1431
10,2,Random,house,80,evacuate,1134
100,2,Random,house,40,evacuate,1364
10,2,Random,house,10,stay,1523
100,2,Random,house,30,evacuate,1400
100,2,Random,house,20,evacuate,1271
100,3,NA,naturalFrequency,60,evacuate,13133
100,3,NA,naturalFrequency,10,stay,8443
10,3,NA,naturalFrequency,40,stay,4496
10,3,NA,naturalFrequency,80,evacuate,1584
10,3,NA,naturalFrequency,70,evacuate,930
100,3,NA,naturalFrequency,40,stay,2091
100,3,NA,naturalFrequency,30,stay,1611
100,3,NA,naturalFrequency,70,evacuate,3017
10,3,NA,naturalFrequency,20,stay,4760
10,3,NA,naturalFrequency,30,stay,1738
10,3,NA,naturalFrequency,10,stay,1190
10,3,NA,naturalFrequency,50,evacuate,1458
100,3,NA,naturalFrequency,80,evacuate,1576
100,3,NA,naturalFrequency,50,evacuate,1506
100,3,NA,naturalFrequency,20,stay,1098
10,3,NA,naturalFrequency,60,evacuate,1634
10,3,NA,naturalFrequency,90,evacuate,1065
100,3,NA,naturalFrequency,90,evacuate,1146
100,3,NA,naturalFrequency,100,evacuate,3348
10,3,Ordered,square,40,stay,5489
100,3,Ordered,square,10,stay,1501
100,3,Ordered,square,40,stay,1570
10,3,Ordered,square,10,stay,1209
100,3,Ordered,square,90,evacuate,1210
100,3,Ordered,square,60,evacuate,2370
100,3,Ordered,square,0,stay,4982
100,3,Ordered,square,70,evacuate,1265
10,3,Ordered,square,90,evacuate,1162
10,3,Ordered,square,30,stay,1282
10,3,Ordered,square,50,evacuate,1362
100,3,Ordered,square,50,evacuate,1330
10,3,Ordered,square,60,evacuate,1698
10,3,Ordered,square,80,evacuate,817
10,3,Ordered,square,70,evacuate,954
100,3,Ordered,square,20,stay,1825
100,3,Ordered,square,30,stay,783
100,3,Ordered,square,80,evacuate,1266
10,3,Ordered,square,20,stay,1209
10,3,Ordered,house,90,evacuate,3501
100,3,Ordered,house,50,evacuate,1840
10,3,Ordered,house,70,evacuate,1298
10,3,Ordered,house,40,stay,3448
10,3,Ordered,house,60,evacuate,1154
100,3,Ordered,house,20,stay,1237
100,3,Ordered,house,70,evacuate,998
10,3,Ordered,house,80,evacuate,2092
100,3,Ordered,house,40,stay,1592
10,3,Ordered,house,50,evacuate,1530
10,3,Ordered,house,20,stay,1210
100,3,Ordered,house,30,stay,1105
10,3,Ordered,house,30,stay,1049
100,3,Ordered,house,60,evacuate,1046
100,3,Ordered,house,10,stay,990
100,3,Ordered,house,0,stay,1520
100,3,Ordered,house,80,evacuate,849
10,3,Ordered,house,10,stay,967
