denominator,participant_id,arrangement,iconicity,probability,decision,decisionTime
100,27,Random,square,40,evacuate,1101
100,27,Random,square,60,evacuate,1689
10,27,Random,square,70,evacuate,1334
100,27,Random,square,80,evacuate,1155
10,27,Random,square,10,stay,1186
100,27,Random,square,50,evacuate,1093
10,27,Random,square,30,stay,996
10,27,Random,square,60,evacuate,634
10,27,Random,square,50,evacuate,1637
100,27,Random,square,20,stay,876
100,27,Random,square,10,stay,904
100,27,Random,square,90,evacuate,805
100,27,Random,square,0,stay,812
100,27,Random,square,30,stay,1184
10,27,Random,square,90,evacuate,1239
10,27,Random,house,20,stay,1301
100,27,Random,house,50,evacuate,2214
100,27,Random,house,80,evacuate,785
100,27,Random,house,60,evacuate,797
10,27,Random,house,80,evacuate,1084
10,27,Random,house,50,stay,836
10,27,Random,house,70,evacuate,816
10,27,Random,house,30,stay,907
100,27,Random,house,10,stay,1601
100,27,Random,house,0,stay,800
100,27,Random,house,70,evacuate,867
10,27,Random,house,40,stay,1000
10,27,Random,house,90,evacuate,711
100,27,Random,house,40,stay,1527
10,27,Random,house,10,stay,1006
100,27,Random,house,30,stay,1126
100,27,Random,house,90,evacuate,733
10,27,Random,house,60,evacuate,925
100,27,Random,house,20,stay,1451
100,28,NA,naturalFrequency,20,evacuate,10363
10,28,NA,naturalFrequency,70,evacuate,1799
100,28,NA,naturalFrequency,70,evacuate,1170
10,28,NA,naturalFrequency,90,evacuate,1187
10,28,NA,naturalFrequency,30,evacuate,2786
100,28,NA,naturalFrequency,40,evacuate,1356
100,28,NA,naturalFrequency,10,stay,1510
10,28,NA,naturalFrequency,50,evacuate,1527
100,28,NA,naturalFrequency,90,evacuate,1017
10,28,NA,naturalFrequency,80,evacuate,937
10,28,NA,naturalFrequency,10,stay,1317
100,28,NA,naturalFrequency,30,evacuate,2561
10,28,NA,naturalFrequency,60,evacuate,1122
100,28,NA,naturalFrequency,50,evacuate,856
100,28,NA,naturalFrequency,80,evacuate,765
10,28,NA,naturalFrequency,20,stay,1331
10,28,NA,naturalFrequency,40,evacuate,1215
100,28,NA,naturalFrequency,60,evacuate,799
100,28,NA,naturalFrequency,0,stay,1899
10,28,Ordered,square,40,evacuate,4189
100,28,Ordered,square,10,stay,4134
100,28,Ordered,square,20,evacuate,1495
10,28,Ordered,square,50,evacuate,1122
10,28,Ordered,square,90,evacuate,1075
10,28,Ordered,square,10,stay,1454
10,28,Ordered,square,80,evacuate,1276
100,28,Ordered,square,90,evacuate,1486
10,28,Ordered,square,100,evacuate,1793
10,28,Ordered,square,30,evacuate,1655
10,28,Ordered,square,60,evacuate,922
100,28,Ordered,square,80,evacuate,1187
100,28,Ordered,square,50,evacuate,1479
100,28,Ordered,square,70,evacuate,856
100,28,Ordered,square,60,evacuate,1056
10,28,Ordered,square,70,evacuate,3207
100,28,Ordered,square,40,evacuate,1808
100,28,Ordered,square,30,evacuate,1235
10,28,Ordered,square,20,stay,1406
100,28,Ordered,house,60,evacuate,1983
100,28,Ordered,house,100,evacuate,668
100,28,Ordered,house,70,evacuate,1080
10,28,Ordered,house,80,evacuate,1131
10,28,Ordered,house,10,stay,1268
100,28,Ordered,house,90,evacuate,1162
10,28,Ordered,house,90,evacuate,2124
10,28,Ordered,house,60,evacuate,953
10,28,Ordered,house,40,evacuate,1755
100,28,Ordered,house,10,stay,1622
10,28,Ordered,house,50,evacuate,1680
100,28,Ordered,house,20,evacuate,1464
10,28,Ordered,house,70,evacuate,1628
10,28,Ordered,house,30,evacuate,1584
100,28,Ordered,house,50,evacuate,1277
10,28,Ordered,house,20,stay,2148
100,28,Ordered,house,30,evacuate,1394
100,28,Ordered,house,80,evacuate,967
100,28,Ordered,house,40,evacuate,1720
10,28,Random,square,10,evacuate,2244
10,28,Random,square,40,evacuate,798
100,28,Random,square,30,evacuate,2558
100,28,Random,square,50,evacuate,750
100,28,Random,square,40,evacuate,1527
10,28,Random,square,60,evacuate,1072
10,28,Random,square,30,stay,2415
10,28,Random,square,70,evacuate,1034
10,28,Random,square,20,stay,1139
100,28,Random,square,70,evacuate,1227
100,28,Random,square,10,stay,2123
10,28,Random,square,90,evacuate,1390
100,28,Random,square,60,evacuate,1527
100,28,Random,square,90,evacuate,720
100,28,Random,square,80,evacuate,776
100,28,Random,square,20,stay,1188
10,28,Random,square,80,evacuate,1284
10,28,Random,square,50,evacuate,1229
10,28,Random,square,0,stay,1164
10,28,Random,house,90,evacuate,1736
10,28,Random,house,20,stay,1912
10,28,Random,house,50,evacuate,1010
100,28,Random,house,10,stay,2865
100,28,Random,house,90,evacuate,957
100,28,Random,house,60,evacuate,1209
10,28,Random,house,40,evacuate,1744
100,28,Random,house,70,evacuate,1153
100,28,Random,house,80,evacuate,911
10,28,Random,house,70,evacuate,1461
10,28,Random,house,10,stay,905
100,28,Random,house,30,stay,2495
10,28,Random,house,60,evacuate,1389
10,28,Random,house,30,evacuate,654
100,28,Random,house,20,stay,1283
100,28,Random,house,50,evacuate,959
10,28,Random,house,80,evacuate,1074
100,28,Random,house,40,evacuate,3590
100,28,Random,house,0,stay,1840
100,29,NA,naturalFrequency,20,stay,6819
10,29,NA,naturalFrequency,60,evacuate,2320
100,29,NA,naturalFrequency,70,evacuate,1537
100,29,NA,naturalFrequency,100,evacuate,1208
100,29,NA,naturalFrequency,90,evacuate,1084
10,29,NA,naturalFrequency,70,evacuate,1002
100,29,NA,naturalFrequency,50,stay,1331
10,29,NA,naturalFrequency,30,stay,1320
100,29,NA,naturalFrequency,30,stay,1200
10,29,NA,naturalFrequency,10,stay,1056
10,29,NA,naturalFrequency,80,evacuate,954
10,29,NA,naturalFrequency,50,evacuate,1401
10,29,NA,naturalFrequency,20,stay,990
10,29,NA,naturalFrequency,40,evacuate,1730
10,29,NA,naturalFrequency,90,evacuate,1043
100,29,NA,naturalFrequency,60,evacuate,1413
100,29,NA,naturalFrequency,10,evacuate,1229
100,29,NA,naturalFrequency,80,evacuate,913
100,29,NA,naturalFrequency,40,stay,1643
100,29,Ordered,square,0,evacuate,5822
100,29,Ordered,square,30,stay,3210
10,29,Ordered,square,20,stay,1249
100,29,Ordered,square,40,evacuate,1555
100,29,Ordered,square,60,evacuate,988
100,29,Ordered,square,20,stay,968
100,29,Ordered,square,70,evacuate,836
100,29,Ordered,square,50,evacuate,960
10,29,Ordered,square,30,stay,1263
10,29,Ordered,square,70,evacuate,1093
10,29,Ordered,square,90,evacuate,908
10,29,Ordered,square,10,stay,716
100,29,Ordered,square,90,evacuate,1031
100,29,Ordered,square,80,evacuate,798
10,29,Ordered,square,80,evacuate,1132
10,29,Ordered,square,60,evacuate,897
10,29,Ordered,square,40,evacuate,1482
100,29,Ordered,square,10,stay,1138
10,29,Ordered,square,50,evacuate,1003
100,29,Ordered,house,90,evacuate,2062
100,29,Ordered,house,10,stay,884
10,29,Ordered,house,90,evacuate,1139
10,29,Ordered,house,0,stay,810
10,29,Ordered,house,10,stay,748
10,29,Ordered,house,30,stay,1194
100,29,Ordered,house,60,evacuate,1576
10,29,Ordered,house,70,evacuate,1092
10,29,Ordered,house,40,stay,920
100,29,Ordered,house,20,stay,1364
100,29,Ordered,house,50,evacuate,636
100,29,Ordered,house,70,stay,754
100,29,Ordered,house,30,stay,1488
10,29,Ordered,house,80,evacuate,1215
10,29,Ordered,house,20,stay,822
10,29,Ordered,house,50,evacuate,886
100,29,Ordered,house,80,evacuate,1095
10,29,Ordered,house,60,evacuate,934
100,29,Ordered,house,40,evacuate,1191
10,29,Random,square,10,stay,1791
100,29,Random,square,90,evacuate,1035
100,29,Random,square,30,evacuate,845
100,29,Random,square,10,stay,871
10,29,Random,square,30,stay,1572
100,29,Random,square,50,evacuate,885
100,29,Random,square,20,stay,933
10,29,Random,square,90,evacuate,973
10,29,Random,square,50,evacuate,1016
100,29,Random,square,0,stay,898
10,29,Random,square,40,evacuate,1003
10,29,Random,square,70,evacuate,1044
10,29,Random,square,20,stay,571
100,29,Random,square,60,evacuate,1015
10,29,Random,square,80,evacuate,940
100,29,Random,square,70,evacuate,953
100,29,Random,square,80,evacuate,735
10,29,Random,square,60,evacuate,864
100,29,Random,square,40,evacuate,1050
100,29,Random,house,60,evacuate,4535
100,29,Random,house,50,evacuate,759
100,29,Random,house,40,evacuate,670
100,29,Random,house,30,evacuate,620
10,29,Random,house,40,evacuate,988
10,29,Random,house,50,evacuate,675
10,29,Random,house,60,evacuate,511
100,29,Random,house,90,evacuate,955
10,29,Random,house,90,evacuate,1087
100,29,Random,house,20,evacuate,1117
100,29,Random,house,80,evacuate,946
10,29,Random,house,30,stay,999
100,29,Random,house,10,stay,990
100,29,Random,house,70,evacuate,689
10,29,Random,house,10,stay,1349
10,29,Random,house,70,evacuate,727
10,29,Random,house,80,evacuate,985
10,29,Random,house,20,stay,1249
10,29,Random,house,100,evacuate,675
100,30,NA,naturalFrequency,90,evacuate,13033
10,30,NA,naturalFrequency,100,evacuate,4722
10,30,NA,naturalFrequency,50,evacuate,2134
100,30,NA,naturalFrequency,60,evacuate,1847
100,30,NA,naturalFrequency,20,stay,2105
100,30,NA,naturalFrequency,10,stay,1830
10,30,NA,naturalFrequency,20,stay,1447
100,30,NA,naturalFrequency,30,stay,1419
10,30,NA,naturalFrequency,60,evacuate,2279
10,30,NA,naturalFrequency,10,stay,1436
10,30,NA,naturalFrequency,80,evacuate,1601
100,30,NA,naturalFrequency,80,evacuate,1922
10,30,NA,naturalFrequency,90,evacuate,1443
10,30,NA,naturalFrequency,40,stay,1700
100,30,NA,naturalFrequency,50,evacuate,3201
10,30,NA,naturalFrequency,30,stay,1576
100,30,NA,naturalFrequency,40,stay,1314
10,30,NA,naturalFrequency,70,evacuate,1357
100,30,NA,naturalFrequency,70,evacuate,1308
100,30,Ordered,square,10,stay,10760
10,30,Ordered,square,10,stay,3694
10,30,Ordered,square,50,stay,3385
100,30,Ordered,square,50,evacuate,2982
100,30,Ordered,square,70,evacuate,1602
10,30,Ordered,square,70,evacuate,2038
100,30,Ordered,square,40,stay,2069
10,30,Ordered,square,90,evacuate,2086
10,30,Ordered,square,30,stay,1702
100,30,Ordered,square,100,evacuate,2799
10,30,Ordered,square,40,stay,2261
100,30,Ordered,square,60,evacuate,2266
100,30,Ordered,square,90,evacuate,1404
10,30,Ordered,square,60,evacuate,2297
100,30,Ordered,square,20,stay,2236
10,30,Ordered,square,20,stay,1435
10,30,Ordered,square,80,evacuate,1407
100,30,Ordered,square,80,evacuate,2504
100,30,Ordered,square,30,stay,6463
10,30,Ordered,house,10,stay,7569
100,30,Ordered,house,40,stay,2395
100,30,Ordered,house,20,stay,2114
100,30,Ordered,house,90,evacuate,1439
10,30,Ordered,house,70,evacuate,1884
100,30,Ordered,house,60,evacuate,2525
100,30,Ordered,house,10,stay,1303
100,30,Ordered,house,0,stay,1638
10,30,Ordered,house,30,stay,1977
10,30,Ordered,house,40,stay,1579
10,30,Ordered,house,50,stay,1833
100,30,Ordered,house,70,evacuate,1702
10,30,Ordered,house,60,evacuate,2098
10,30,Ordered,house,90,evacuate,1270
100,30,Ordered,house,80,evacuate,2079
10,30,Ordered,house,80,evacuate,2187
100,30,Ordered,house,30,stay,1404
10,30,Ordered,house,20,stay,1651
100,30,Ordered,house,50,stay,9083
10,30,Random,square,80,evacuate,8122
100,30,Random,square,60,evacuate,5863
100,30,Random,square,10,stay,1628
100,30,Random,square,50,evacuate,6526
10,30,Random,square,60,evacuate,3658
10,30,Random,square,40,stay,1625
100,30,Random,square,80,evacuate,1595
10,30,Random,square,50,stay,2226
10,30,Random,square,30,stay,1489
10,30,Random,square,90,evacuate,1509
10,30,Random,square,0,stay,1524
100,30,Random,square,70,evacuate,1676
100,30,Random,square,40,stay,1774
10,30,Random,square,10,stay,1567
100,30,Random,square,20,stay,1630
10,30,Random,square,20,stay,1416
100,30,Random,square,90,evacuate,1487
10,30,Random,square,70,evacuate,1689
100,30,Random,square,30,stay,1538
100,30,Random,house,70,evacuate,5429
10,30,Random,house,80,evacuate,2342
100,30,Random,house,40,stay,2576
100,30,Random,house,60,evacuate,5786
10,30,Random,house,10,stay,2220
100,30,Random,house,80,evacuate,1575
100,30,Random,house,20,stay,1866
10,30,Random,house,70,evacuate,1717
10,30,Random,house,30,stay,1609
100,30,Random,house,10,stay,2100
100,30,Random,house,50,evacuate,1636
100,30,Random,house,30,stay,1547
100,30,Random,house,90,evacuate,1467
10,30,Random,house,90,evacuate,1806
10,30,Random,house,100,evacuate,1489
10,30,Random,house,60,evacuate,2266
10,30,Random,house,40,stay,1590
10,30,Random,house,50,evacuate,1469
10,30,Random,house,20,stay,1884
10,31,NA,naturalFrequency,70,evacuate,5182
10,31,NA,naturalFrequency,80,evacuate,2300
10,31,NA,naturalFrequency,50,evacuate,1850
100,31,NA,naturalFrequency,70,evacuate,2500
100,31,NA,naturalFrequency,90,evacuate,2900
100,31,NA,naturalFrequency,20,stay,1566
100,31,NA,naturalFrequency,100,evacuate,1884
100,31,NA,naturalFrequency,50,evacuate,1650
100,31,NA,naturalFrequency,80,evacuate,1183
10,31,NA,naturalFrequency,90,evacuate,1200
10,31,NA,naturalFrequency,10,stay,1066
10,31,NA,naturalFrequency,30,stay,1199
100,31,NA,naturalFrequency,30,stay,1283
100,31,NA,naturalFrequency,60,evacuate,1149
10,31,NA,naturalFrequency,60,evacuate,967
10,31,NA,naturalFrequency,40,stay,966
10,31,NA,naturalFrequency,20,stay,866
100,31,NA,naturalFrequency,40,evacuate,999
100,31,NA,naturalFrequency,10,stay,950
100,31,Ordered,square,30,stay,8381
100,31,Ordered,square,80,evacuate,3649
100,31,Ordered,square,50,evacuate,2633
10,31,Ordered,square,50,evacuate,3016
100,31,Ordered,square,40,evacuate,7483
100,31,Ordered,square,70,evacuate,1266
10,31,Ordered,square,80,evacuate,1416
100,31,Ordered,square,10,stay,1617
10,31,Ordered,square,40,evacuate,2117
10,31,Ordered,square,30,stay,2683
100,31,Ordered,square,20,stay,1500
10,31,Ordered,square,90,evacuate,1266
100,31,Ordered,square,90,evacuate,1549
100,31,Ordered,square,60,evacuate,1316
10,31,Ordered,square,100,evacuate,1432
10,31,Ordered,square,60,evacuate,1416
10,31,Ordered,square,20,stay,1750
10,31,Ordered,square,70,evacuate,13483
10,31,Ordered,square,10,stay,1066
100,31,Ordered,house,30,stay,3081
100,31,Ordered,house,60,evacuate,1198
10,31,Ordered,house,30,stay,1683
10,31,Ordered,house,80,evacuate,1682
100,31,Ordered,house,90,evacuate,1446
10,31,Ordered,house,50,evacuate,1566
100,31,Ordered,house,40,evacuate,2013
10,31,Ordered,house,70,evacuate,1300
10,31,Ordered,house,40,evacuate,1682
100,31,Ordered,house,100,evacuate,1462
100,31,Ordered,house,10,stay,1230
100,31,Ordered,house,50,evacuate,2030
10,31,Ordered,house,60,evacuate,1550
100,31,Ordered,house,80,evacuate,1781
10,31,Ordered,house,20,stay,1482
100,31,Ordered,house,20,stay,1447
10,31,Ordered,house,10,stay,1433
100,31,Ordered,house,70,evacuate,1713
10,31,Ordered,house,90,evacuate,1949
100,31,Random,square,60,evacuate,3831
10,31,Random,square,100,evacuate,1549
100,31,Random,square,10,stay,1299
100,31,Random,square,90,evacuate,1049
10,31,Random,square,40,evacuate,2116
100,31,Random,square,20,stay,1216
10,31,Random,square,50,evacuate,1516
10,31,Random,square,60,evacuate,1067
10,31,Random,square,80,evacuate,1050
10,31,Random,square,90,evacuate,1066
10,31,Random,square,70,evacuate,1201
100,31,Random,square,50,evacuate,1550
100,31,Random,square,30,evacuate,2782
100,31,Random,square,70,evacuate,883
100,31,Random,square,40,evacuate,1149
10,31,Random,square,10,stay,1268
10,31,Random,square,20,stay,1233
10,31,Random,square,30,evacuate,1216
100,31,Random,square,80,evacuate,1266
10,31,Random,house,30,stay,3064
10,31,Random,house,40,evacuate,1500
10,31,Random,house,20,stay,1165
100,31,Random,house,30,stay,4030
100,31,Random,house,10,stay,965
10,31,Random,house,10,stay,1383
100,31,Random,house,70,evacuate,1284
10,31,Random,house,50,evacuate,1467
100,31,Random,house,50,evacuate,1696
10,31,Random,house,0,stay,1183
10,31,Random,house,70,evacuate,1049
100,31,Random,house,40,evacuate,1680
100,31,Random,house,80,evacuate,847
100,31,Random,house,90,evacuate,898
100,31,Random,house,20,stay,1148
100,31,Random,house,60,evacuate,3814
10,31,Random,house,60,evacuate,1633
10,31,Random,house,90,evacuate,1367
10,31,Random,house,80,evacuate,1432
100,32,NA,naturalFrequency,10,stay,7031
10,32,NA,naturalFrequency,70,evacuate,4181
100,32,NA,naturalFrequency,70,evacuate,2311
100,32,NA,naturalFrequency,90,evacuate,1700
100,32,NA,naturalFrequency,80,evacuate,1553
100,32,NA,naturalFrequency,20,stay,1393
10,32,NA,naturalFrequency,20,stay,1888
10,32,NA,naturalFrequency,80,evacuate,1616
10,32,NA,naturalFrequency,30,stay,5396
100,32,NA,naturalFrequency,30,stay,5636
10,32,NA,naturalFrequency,60,evacuate,1379
10,32,NA,naturalFrequency,10,stay,955
100,32,NA,naturalFrequency,40,evacuate,1615
100,32,NA,naturalFrequency,60,evacuate,1071
100,32,NA,naturalFrequency,0,stay,3283
10,32,NA,naturalFrequency,50,evacuate,1179
10,32,NA,naturalFrequency,90,evacuate,1285
100,32,NA,naturalFrequency,50,evacuate,1673
10,32,NA,naturalFrequency,40,evacuate,1272
100,32,Ordered,square,10,stay,4846
10,32,Ordered,square,60,evacuate,1374
10,32,Ordered,square,100,evacuate,895
10,32,Ordered,square,20,stay,956
100,32,Ordered,square,20,stay,1139
10,32,Ordered,square,40,evacuate,1022
100,32,Ordered,square,70,evacuate,1001
10,32,Ordered,square,50,evacuate,895
100,32,Ordered,square,50,evacuate,848
100,32,Ordered,square,30,evacuate,1641
10,32,Ordered,square,10,stay,883
100,32,Ordered,square,40,evacuate,1049
10,32,Ordered,square,80,evacuate,924
100,32,Ordered,square,80,evacuate,953
10,32,Ordered,square,90,evacuate,1086
100,32,Ordered,square,90,evacuate,888
100,32,Ordered,square,60,evacuate,977
10,32,Ordered,square,30,stay,1347
10,32,Ordered,square,70,evacuate,959
100,32,Ordered,house,60,evacuate,4813
10,32,Ordered,house,50,evacuate,2078
100,32,Ordered,house,40,evacuate,1836
10,32,Ordered,house,40,evacuate,2433
100,32,Ordered,house,50,evacuate,2230
100,32,Ordered,house,10,stay,1268
10,32,Ordered,house,30,stay,1188
10,32,Ordered,house,20,stay,1186
100,32,Ordered,house,0,stay,1104
100,32,Ordered,house,30,stay,1543
100,32,Ordered,house,20,stay,1003
100,32,Ordered,house,70,evacuate,963
100,32,Ordered,house,90,evacuate,1072
10,32,Ordered,house,90,evacuate,1068
10,32,Ordered,house,60,evacuate,1191
10,32,Ordered,house,10,stay,942
100,32,Ordered,house,80,evacuate,2596
10,32,Ordered,house,80,evacuate,1051
10,32,Ordered,house,70,evacuate,955
10,32,Random,square,20,stay,3430
100,32,Random,square,20,evacuate,2376
10,32,Random,square,70,evacuate,3565
100,32,Random,square,60,evacuate,1066
10,32,Random,square,50,evacuate,2698
10,32,Random,square,90,evacuate,1155
100,32,Random,square,70,evacuate,1018
10,32,Random,square,40,evacuate,1638
10,32,Random,square,30,stay,1301
100,32,Random,square,50,evacuate,1275
10,32,Random,square,60,evacuate,1185
10,32,Random,square,10,stay,857
100,32,Random,square,10,stay,911
10,32,Random,square,80,evacuate,1274
100,32,Random,square,30,evacuate,1443
100,32,Random,square,40,evacuate,1042
100,32,Random,square,100,evacuate,922
100,32,Random,square,90,evacuate,833
100,32,Random,square,80,evacuate,773
10,32,Random,house,60,evacuate,2607
100,32,Random,house,20,stay,2158
100,32,Random,house,80,evacuate,1297
100,32,Random,house,0,stay,1114
10,32,Random,house,70,evacuate,1452
10,32,Random,house,50,evacuate,1053
100,32,Random,house,30,evacuate,2584
10,32,Random,house,10,stay,1230
100,32,Random,house,10,stay,1039
10,32,Random,house,30,stay,1105
10,32,Random,house,90,evacuate,1091
10,32,Random,house,80,evacuate,805
100,32,Random,house,60,evacuate,1747
10,32,Random,house,20,stay,1320
100,32,Random,house,40,evacuate,1483
100,32,Random,house,50,evacuate,1021
100,32,Random,house,70,evacuate,949
100,32,Random,house,90,evacuate,1039
10,32,Random,house,40,evacuate,1260
10,33,NA,naturalFrequency,60,evacuate,8018
10,33,NA,naturalFrequency,10,evacuate,1516
10,33,NA,naturalFrequency,40,evacuate,666
10,33,NA,naturalFrequency,30,evacuate,599
100,33,NA,naturalFrequency,20,evacuate,2234
100,33,NA,naturalFrequency,40,evacuate,700
10,33,NA,naturalFrequency,50,evacuate,2569
100,33,NA,naturalFrequency,100,evacuate,9799
100,33,NA,naturalFrequency,60,evacuate,1766
100,33,NA,naturalFrequency,90,evacuate,851
10,33,NA,naturalFrequency,20,evacuate,1149
100,33,NA,naturalFrequency,50,evacuate,11633
100,33,NA,naturalFrequency,30,evacuate,617
100,33,NA,naturalFrequency,80,evacuate,683
10,33,NA,naturalFrequency,90,evacuate,750
100,33,NA,naturalFrequency,10,evacuate,618
100,33,NA,naturalFrequency,70,evacuate,667
10,33,NA,naturalFrequency,70,evacuate,751
10,33,NA,naturalFrequency,80,evacuate,618
100,33,Ordered,square,20,evacuate,5332
10,33,Ordered,square,50,evacuate,1466
10,33,Ordered,square,30,evacuate,666
100,33,Ordered,square,30,evacuate,1200
10,33,Ordered,square,20,evacuate,1466
10,33,Ordered,square,80,evacuate,652
100,33,Ordered,square,50,evacuate,1500
10,33,Ordered,square,40,evacuate,783
10,33,Ordered,square,10,evacuate,683
100,33,Ordered,square,70,evacuate,1416
100,33,Ordered,square,40,evacuate,715
100,33,Ordered,square,60,evacuate,499
100,33,Ordered,square,10,evacuate,716
10,33,Ordered,square,70,evacuate,1350
100,33,Ordered,square,80,evacuate,966
10,33,Ordered,square,100,evacuate,1450
100,33,Ordered,square,90,evacuate,1033
10,33,Ordered,square,60,evacuate,2650
10,33,Ordered,square,90,evacuate,1099
100,33,Ordered,house,50,evacuate,2181
100,33,Ordered,house,10,evacuate,611
100,33,Ordered,house,20,evacuate,547
10,33,Ordered,house,10,evacuate,1616
100,33,Ordered,house,30,evacuate,978
100,33,Ordered,house,40,evacuate,778
10,33,Ordered,house,70,evacuate,1082
10,33,Ordered,house,90,evacuate,666
10,33,Ordered,house,60,evacuate,631
10,33,Ordered,house,40,evacuate,717
10,33,Ordered,house,50,evacuate,600
100,33,Ordered,house,80,evacuate,1031
100,33,Ordered,house,60,evacuate,579
100,33,Ordered,house,90,evacuate,564
10,33,Ordered,house,20,evacuate,1217
100,33,Ordered,house,0,stay,4913
100,33,Ordered,house,70,evacuate,1195
10,33,Ordered,house,80,evacuate,1299
10,33,Ordered,house,30,evacuate,932
100,33,Random,square,0,stay,3365
10,33,Random,square,40,evacuate,5067
100,33,Random,square,80,evacuate,1499
100,33,Random,square,60,evacuate,734
100,33,Random,square,70,evacuate,533
10,33,Random,square,60,evacuate,1366
10,33,Random,square,70,evacuate,2100
100,33,Random,square,20,evacuate,11750
100,33,Random,square,30,evacuate,1081
10,33,Random,square,30,evacuate,1433
10,33,Random,square,50,evacuate,1233
100,33,Random,square,50,evacuate,1098
100,33,Random,square,10,evacuate,1216
10,33,Random,square,80,evacuate,5483
10,33,Random,square,20,evacuate,666
10,33,Random,square,10,evacuate,765
100,33,Random,square,40,evacuate,1050
10,33,Random,square,90,evacuate,1201
100,33,Random,square,90,evacuate,1017
100,33,Random,house,30,evacuate,1479
100,33,Random,house,90,evacuate,713
100,33,Random,house,70,evacuate,529
10,33,Random,house,70,evacuate,1366
10,33,Random,house,20,evacuate,717
10,33,Random,house,30,evacuate,948
100,33,Random,house,10,evacuate,980
10,33,Random,house,50,evacuate,901
100,33,Random,house,20,evacuate,1013
100,33,Random,house,80,evacuate,879
10,33,Random,house,40,evacuate,1116
10,33,Random,house,90,evacuate,665
100,33,Random,house,60,evacuate,1397
10,33,Random,house,10,evacuate,1082
10,33,Random,house,80,evacuate,566
10,33,Random,house,60,evacuate,682
100,33,Random,house,0,stay,1963
100,33,Random,house,50,evacuate,1163
100,33,Random,house,40,evacuate,762
10,34,NA,naturalFrequency,50,evacuate,8947
10,34,NA,naturalFrequency,40,evacuate,4964
100,34,NA,naturalFrequency,70,evacuate,2694
100,34,NA,naturalFrequency,30,stay,1757
100,34,NA,naturalFrequency,10,stay,2078
10,34,NA,naturalFrequency,10,stay,1496
100,34,NA,naturalFrequency,50,evacuate,3700
10,34,NA,naturalFrequency,90,evacuate,1694
10,34,NA,naturalFrequency,80,evacuate,2908
100,34,NA,naturalFrequency,20,stay,2063
100,34,NA,naturalFrequency,80,evacuate,1757
10,34,NA,naturalFrequency,30,stay,1993
10,34,NA,naturalFrequency,60,evacuate,1865
10,34,NA,naturalFrequency,70,evacuate,1177
100,34,NA,naturalFrequency,90,evacuate,2261
100,34,NA,naturalFrequency,60,evacuate,2177
100,34,NA,naturalFrequency,40,evacuate,1561
10,34,NA,naturalFrequency,100,evacuate,1736
10,34,NA,naturalFrequency,20,evacuate,1942
100,34,Ordered,square,50,evacuate,8088
100,34,Ordered,square,10,stay,3907
10,34,Ordered,square,50,evacuate,2040
10,34,Ordered,square,60,evacuate,3543
100,34,Ordered,square,30,stay,7614
100,34,Ordered,square,90,evacuate,1829
10,34,Ordered,square,90,evacuate,3566
100,34,Ordered,square,60,evacuate,1864
10,34,Ordered,square,0,stay,1715
10,34,Ordered,square,30,stay,1390
10,34,Ordered,square,10,stay,1291
10,34,Ordered,square,40,stay,1149
10,34,Ordered,square,70,evacuate,1354
100,34,Ordered,square,40,stay,1580
10,34,Ordered,square,80,evacuate,1575
100,34,Ordered,square,80,evacuate,1681
100,34,Ordered,square,70,evacuate,1368
10,34,Ordered,square,20,stay,1334
100,34,Ordered,square,20,stay,1297
10,34,Ordered,house,70,evacuate,4047
10,34,Ordered,house,30,stay,1419
10,34,Ordered,house,0,stay,2128
10,34,Ordered,house,10,stay,1148
10,34,Ordered,house,80,evacuate,1071
100,34,Ordered,house,50,stay,1835
100,34,Ordered,house,40,stay,2181
10,34,Ordered,house,40,stay,2340
10,34,Ordered,house,50,stay,2140
100,34,Ordered,house,30,stay,1677
100,34,Ordered,house,90,evacuate,1662
10,34,Ordered,house,90,evacuate,1447
100,34,Ordered,house,20,stay,1274
100,34,Ordered,house,80,evacuate,1445
100,34,Ordered,house,10,stay,946
100,34,Ordered,house,70,evacuate,1189
100,34,Ordered,house,60,evacuate,1080
10,34,Ordered,house,20,stay,1498
10,34,Ordered,house,60,evacuate,1707
100,34,Random,square,80,evacuate,1579
100,34,Random,square,30,stay,1857
10,34,Random,square,10,stay,1325
10,34,Random,square,70,evacuate,1559
100,34,Random,square,20,stay,1660
10,34,Random,square,80,evacuate,1411
100,34,Random,square,0,stay,1404
10,34,Random,square,50,evacuate,1496
10,34,Random,square,40,stay,1851
100,34,Random,square,70,evacuate,1311
10,34,Random,square,90,evacuate,1042
10,34,Random,square,60,evacuate,1049
100,34,Random,square,60,evacuate,1354
100,34,Random,square,10,stay,957
100,34,Random,square,90,evacuate,772
100,34,Random,square,50,stay,963
10,34,Random,square,20,stay,1502
100,34,Random,square,40,evacuate,2055
10,34,Random,square,30,stay,1240
100,34,Random,house,60,stay,2672
100,34,Random,house,50,stay,1146
10,34,Random,house,40,stay,1481
10,34,Random,house,10,stay,984
10,34,Random,house,30,stay,807
10,34,Random,house,20,stay,949
100,34,Random,house,90,evacuate,1244
10,34,Random,house,90,evacuate,1671
100,34,Random,house,20,stay,1472
100,34,Random,house,30,stay,1245
10,34,Random,house,80,evacuate,1552
100,34,Random,house,10,stay,1004
10,34,Random,house,70,evacuate,2014
10,34,Random,house,50,stay,802
10,34,Random,house,60,stay,1078
100,34,Random,house,0,stay,1139
100,34,Random,house,80,evacuate,1252
